Epoch: 52 	Total: 187.1213 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5421
Epoch: 53 	Total: 187.5043 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5831
Epoch: 54 	Total: 187.2600 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5685
Epoch: 55 	Total: 187.0139 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5974
Epoch: 56 	Total: 187.2023 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5326
Epoch: 57 	Total: 187.3708 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5864
Epoch: 58 	Total: 187.4060 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5924
Epoch: 59 	Total: 187.5757 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5575
Epoch: 60 	Total: 187.3577 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5345
Epoch: 61 	Total: 187.6099 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6742
Epoch: 62 	Total: 187.0863 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6379
Epoch: 63 	Total: 187.1235 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6370
Epoch: 64 	Total: 187.3267 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6632
Epoch: 65 	Total: 187.1822 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5554
Epoch: 66 	Total: 187.3325 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5984
Epoch: 67 	Total: 187.8551 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5348
Epoch: 68 	Total: 187.2254 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6065
Epoch: 69 	Total: 187.1967 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5576
Epoch: 70 	Total: 187.1594 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6274
Epoch: 71 	Total: 187.3113 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5595
